Metabolite	HMDB_ID	Alt_name	Alt_source_HMDB	Protein_interactions
aspartate	HMDB0000191	L-Aspartic acid		ACY1;ACY3;ADSS;ADSSL1;AGA;ASNS;ASPA;ASPDH;ASPG;ASPH;ASRGL1;ASS1;CAD;DARS;DARS2;GAD1;GAD2;GIG18;GLUD1;GOT1;GOT1L1;GOT2;IL4I1;LYZ;NAT8L;PAICS;RNASE1;SLC16A10;SLC1A1;SLC25A12;SLC25A13
glutamate	HMDB0003339	D-Glutamic acid		GLS;GLS2
asparagine	HMDB0000168	L-Asparagine		ASNS;ASPG;ASRGL1;DAD1;DDOST;NARS;NARS2;RPN1;RPN2;SLC1A5;SLC38A3;STT3A;STT3B
glutamine	HMDB0000641	L-Glutamine		ASNS;CAD;CCBL1;CTPS1;CTPS2;F13A1;GATC;GFPT1;GFPT2;GLS;GLS2;GLUL;GLYATL1;GMPS;NADSYN1;PET112;PFAS;PIG59;PPAT;QARS;QRSL1;SLC16A10;SLC1A5;SLC38A3;SLC7A8;TGM1;TGM2;TGM3;TGM4;TGM5;TGM6;TGM7
histidine	HMDB0000177	L-Histidine		CARNS1;CNDP1;DDC;HAL;HARS;HARS2;HDC;HEMK1;METTL2B;METTL6;PRMT3;SLC16A10;SLC38A3;WBSCR22
arginine	HMDB0000517	L-Arginine		ADC;ADPRH;ARG1;ARG2;ART1;ART3;ART4;ART5;ASL;ASS1;CARNS1;GATM;NOS1;NOS2;NOS3;PADI3;PADI4;RARS;RARS2;SIRT6;SLC3A2;SLC7A1;SLC7A6;SLC7A7
lysine	HMDB0000182	L-Lysine		AASS;BTD;CARNS1;DOT1L;EHMT1;EHMT2;EZH2;KARS;KDM2A;KDM2B;MLL;MLL2;MLL3;NSD1;PLOD1;PLOD2;PLOD3;PRDM2;SETD2;SETD7;SETDB1;WBP7;WHSC1;WHSC1L1
valine	HMDB0000883	L-Valine		BCAT1;BCAT2;COMT;PCCB;SLC16A10;VARS;VARS2
leucine	HMDB0000687	L-Leucine		BCAT1;BCAT2;LARS;LARS2;LCMT1;LCMT2;SLC3A2;SLC7A8
isoleucine	HMDB0000172	L-Isoleucine		ACADSB;BCAT1;BCAT2;IARS;IARS2;IL4I1;SLC16A10
phenylalanine	HMDB0000159	L-Phenylalanine		ACE2;CCBL1;DDC;EPX;FARS2;FARSA;FARSB;FARSLA;GOT1;GOT2;IL4I1;LPO;MPO;PAH;PRDX6;SLC16A10;SLC7A8;TAT;TH
tyrosine	HMDB0000158	L-Tyrosine		DDC;EGFR;FGFR1;GOT1;GOT2;IL4I1;IYD;PAH;SLC16A10;SLC16A2;TAT;TH;TPO;TTL;TYR;YARS;YARS2
tryptophan	HMDB0000929	L-Tryptophan		DDC;IDO1;IDO2;IL4I1;SLC16A10;SLC16A2;TDO2;TPH1;TPH2;WARS;WARS2
proline	HMDB0000162	L-Proline		EGLN1;EGLN2;EGLN3;EPRS;L3HYPDH;LAP3;LEPRE1;LEPREL1;LEPREL2;P4HA1;P4HA2;P4HA3;P4HTM;P5CR2;PARS2;PPIA;PPIB;PPIF;PPIG;PPIH;PRODH;PRODH2;PROSC;PYCR1;PYCR2;PYCRL;SLC16A10;SLC6A14;SLC6A7;TRPM1
cis/trans-hydroxyproline	HMDB0000725	4-Hydroxyproline		DPP4;EGLN1;EGLN2;EGLN3;P4HA1;P4HA2;P4HA3;P4HTM;PYCR1;PYCR2;PYCRL;SLC1A4
ornithine	HMDB0000214	Ornithine		ACY1;ALDH18A1;ARG1;ARG2;AZIN1;GATM;OAT;OAZ1;OAZ2;OAZ3;ODC1;OTC;SLC25A15;SLC25A2;SLC7A1;SLC7A2;SLC7A3;SLC7A4;SLC7A6
citrulline	HMDB0000904	Citrulline		ASS1;DDAH1;DDAH2;NOS1;NOS2;NOS3;OTC;PADI1;PADI2;PADI3;PADI4;PADI6
